GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
code-coverage/use-cases,com.unifiedpost.myid.userservice.usecases,GetProcessUseCase,18,0,4,0,6,0,4,0,2,0
code-coverage/use-cases,com.unifiedpost.myid.userservice.usecases,CreateDossierUseCase,18,0,2,0,6,0,3,0,2,0
code-coverage/use-cases,com.unifiedpost.myid.userservice.usecases,StartVerificationUseCase,18,0,4,0,6,0,4,0,2,0
code-coverage/use-cases,com.unifiedpost.myid.userservice.usecases,CreateProcessUseCase,18,0,4,0,6,0,4,0,2,0
code-coverage/db,com.unifiedpost.myid.userservice.db.mapper,UserMapper,29,0,4,0,11,0,5,0,3,0
code-coverage/db,com.unifiedpost.myid.userservice.db,UserAdapterImpl,51,0,6,0,13,0,7,0,4,0
code-coverage/db,com.unifiedpost.myid.userservice.db,UserModel,195,0,38,0,5,0,32,0,13,0
code-coverage/db,com.unifiedpost.myid.userservice.db,Converter,179,0,16,0,40,0,16,0,8,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,ProcessTypeDto,74,0,4,0,14,0,6,0,4,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,ProviderSpecificResponse,10,0,0,0,3,0,3,0,3,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,FacetecEnrollmentRequest,31,0,0,0,6,0,9,0,9,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,FinalResultProcessDto,38,0,0,0,7,0,11,0,11,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,DossierDto,10,0,0,0,3,0,3,0,3,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,ProcessResponseDto,59,0,0,0,10,0,17,0,17,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,VerificationResultDto,17,0,0,0,4,0,5,0,5,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,ProviderDto,63,0,6,0,13,0,7,0,4,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,ProcessRequestDto,24,0,0,0,5,0,7,0,7,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,FacetecMatchingResponse,24,0,0,0,5,0,7,0,7,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,AccessTokenDto,10,0,0,0,3,0,3,0,3,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,VerifyRequestDto,10,0,0,0,3,0,3,0,3,0
code-coverage/http,com.unifiedpost.myid.userservice.http.dto,ProcessParameterDto,10,0,0,0,3,0,3,0,3,0
code-coverage/http,com.unifiedpost.myid.userservice.http.rest,RestCallerImpl,30,0,0,0,5,0,2,0,2,0
code-coverage/http,com.unifiedpost.myid.userservice.http,TokenService,94,0,0,0,21,0,5,0,5,0
code-coverage/http,com.unifiedpost.myid.userservice.http,SignicatInterceptor,41,0,6,0,9,0,5,0,2,0
code-coverage/http,com.unifiedpost.myid.userservice.http,SignicatAdapterImpl,223,0,32,0,40,0,23,0,7,0
code-coverage/http,com.unifiedpost.myid.userservice.http.mapper,Converter,179,0,16,0,40,0,16,0,8,0
code-coverage/http,com.unifiedpost.myid.userservice.http.mapper,ProcessRequestMapper,50,0,8,0,11,0,6,0,2,0
code-coverage/http,com.unifiedpost.myid.userservice.http.mapper,DossierMapper,17,0,2,0,6,0,3,0,2,0
code-coverage/http,com.unifiedpost.myid.userservice.http.mapper,VerificationMapper,36,0,4,0,13,0,5,0,3,0
code-coverage/http,com.unifiedpost.myid.userservice.http.mapper,ProcessMapper,89,0,14,0,27,0,10,0,2,0
